SMILES,bacteria,MIC (µg/mL),MIC (µmol/mL),log MIC,S. aureus,molar_mass,mol_MR,logP,num_h_donors,num_h_acceptors,num_rotatable_bonds,tpsa,fraction_csp3,ring_count,aromatic_ring_count,mean_pagerank,mean_degree_centrality,mean_closeness_centrality,mean_betweenness_centrality
FC1=CC=C(C=C1)CN2C(=NC=3C=CC=CC32)CN4C=NC=5C4=NC=NC5N6CCOCC6,S. aureus,256.0,0.5772448284726008,2.761360050769165,+,443.4860000000003,122.69200000000006,3.2483000000000004,0,8,5,73.89,0.25,6,5,0.030303030303030304,0.07196969696969698,0.16988529785279544,0.16544477028347995
ClC=1C=CC=CC1CN2C(=NC=3C=CC=CC32)CN4C=NC=5C4=NC=NC5N6CCOCC6,S. aureus,256.0,0.5565931282490577,2.745537840190734,+,459.94100000000026,127.74400000000006,3.7626000000000026,0,8,5,73.89,0.25,6,5,0.030303030303030304,0.07196969696969698,0.1722947420492679,0.16226783968719452
ClC1=CC=CC(=C1)CN2C(=NC=3C=CC=CC32)CN4C=NC=5C4=NC=NC5N6CCOCC6,S. aureus,512.0,1.1131862564981154,3.0465678358547152,+,459.94100000000026,127.74400000000006,3.7626000000000026,0,8,5,73.89,0.25,6,5,0.030303030303030304,0.07196969696969698,0.17104258020897511,0.16385630498533724
ClC1=CC=C(C=C1)CN2C(=NC=3C=CC=CC32)CN4C=NC=5C4=NC=NC5N6CCOCC6,S. aureus,512.0,1.1131862564981154,3.0465678358547152,+,459.94100000000026,127.74400000000006,3.7626000000000026,0,8,5,73.89,0.25,6,5,0.030303030303030304,0.07196969696969698,0.16988529785279544,0.16544477028347995
N1=CN=C(C=2NC=NC12)N3CCCCC3,S. aureus,32.0,0.1574423490398477,2.197121560809276,+,203.2489999999999,57.74770000000002,1.3432,1,4,1,57.7,0.5,3,2,0.06666666666666667,0.16190476190476188,0.31590286685944824,0.17435897435897435
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CCCCCC)N5CCCCC5,S. aureus,16.0,0.0383177547711591,1.5834000536668578,+,417.5610000000004,124.36400000000008,4.794900000000005,0,7,8,64.66,0.5,5,4,0.032258064516129024,0.07526881720430108,0.17349899379643416,0.17330367074527253
N1=CN=C(C=2NC=NC12)N3CCCC3,S. aureus,64.0,0.3382270560505651,2.529208345495534,+,189.22199999999992,53.13070000000002,0.9530999999999998,1,4,1,57.7,0.4444444444444444,3,2,0.07142857142857141,0.17582417582417584,0.33723931415637526,0.17124542124542125
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CCCCCC)N5CCCC5,S. aureus,32.0,0.0792993898903189,1.899269845977287,+,403.5340000000004,119.74700000000007,4.404800000000003,0,7,8,64.66,0.4782608695652174,5,4,0.03333333333333333,0.07816091954022988,0.1784936986128337,0.17339901477832512
C1(=CC5=C(C=C1)N=C(C3=C(C2=CC=C(C=C2)OC)N=C(S3)N4CCOCC4)[N]5)Cl,S. aureus,63.85,0.1499,2.175801632848279,+,425.9210000000003,116.57700000000004,4.636500000000004,0,6,4,61.050000000000004,0.23809523809523808,5,3,0.034482758620689655,0.0812807881773399,0.1925781327448445,0.1645685093960956
C1(=CC5=C(C=C1)N=C(C3=C(C2=CC=C(C=C2)OC)N=C(S3)N4CCOCC4)[N]5)Br,S. aureus,31.89,0.0678,1.8312296938670631,+,470.3720000000002,119.26700000000005,4.745600000000004,0,6,4,61.050000000000004,0.23809523809523808,5,3,0.034482758620689655,0.0812807881773399,0.1925781327448445,0.1645685093960956
C1(=CC5=C(C=C1)N=C(C3=C(C2=CC(=CC=C2)OC)N=C(S3)N4CCOCC4)[N]5)C,S. aureus,7.95,0.0196,1.292256071356476,+,405.5030000000002,116.30400000000004,4.291520000000004,0,6,4,61.050000000000004,0.2727272727272727,5,3,0.034482758620689655,0.0812807881773399,0.19581867356337818,0.16073709177157453
C1(=CC5=C(C=C1)N=C(C3=C(C2=CC(=CC=C2)OC)N=C(S3)N4CCOCC4)[N]5)F,S. aureus,31.9,0.0779,1.8915374576725643,+,409.4660000000002,111.52500000000005,4.122200000000005,0,6,4,61.050000000000004,0.23809523809523808,5,3,0.034482758620689655,0.0812807881773399,0.19581867356337818,0.16073709177157453
C1(=CC5=C(C=C1)N=C(C3=C(C2=CC(=CC=C2)OC)N=C(S3)N4CCOCC4)[N]5)Br,S. aureus,31.89,0.0678,1.8312296938670631,+,470.3720000000002,119.26700000000005,4.745600000000004,0,6,4,61.050000000000004,0.23809523809523808,5,3,0.034482758620689655,0.0812807881773399,0.19581867356337818,0.16073709177157453
C1=CC5=C(C=C1)N=C(C3=C(C2=CC=C(C=C2)Cl)N=C(S3)N4CCOCC4)[N]5,S. aureus,31.95,0.0807,1.9068735347220704,+,395.8950000000002,110.02500000000005,4.627900000000004,0,5,3,51.82,0.2,5,3,0.03703703703703703,0.08831908831908832,0.20541238978710316,0.16364672364672364
C1(=CC5=C(C=C1)N=C(C3=C(C2=CC=C(C=C2)Cl)N=C(S3)N4CCOCC4)[N]5)F,S. aureus,31.95,0.0772,1.887617300335736,+,413.8850000000002,109.98300000000003,4.767000000000004,0,5,3,51.82,0.2,5,3,0.03571428571428571,0.08465608465608465,0.19930880715611468,0.1634106634106634
FC(F)(F)C=1C=C(N=C(C1)N2CCC(C3=NC=4C=CC=CC4N3CC)CC2)C=5C=CC=CC5,S. aureus,9.38,0.020809841334671,1.3182687689314965,+,450.5080000000002,124.27000000000002,6.521000000000006,0,4,4,33.95,0.3076923076923077,5,4,0.030303030303030304,0.07007575757575757,0.16562325758738736,0.16978250244379275
N=1N=C(SC1NC)C=2C=CC(=CC2)C3=NC=4C=C(C(=CC4N3)C)C,S. aureus,62.5,0.1863246640193658,2.2702703467831844,+,335.4360000000001,99.45340000000002,4.406940000000002,2,5,3,66.49000000000001,0.16666666666666666,4,4,0.04166666666666665,0.09782608695652173,0.19474336445698345,0.19762845849802368
ClCCNC1=NN=C(S1)C=2C=CC(=CC2)C3=NC=4C=C(C(=CC4N3)C)C,S. aureus,62.5,0.1627994206945413,2.2116528551624475,+,383.9080000000001,109.11640000000001,5.015940000000003,2,5,5,66.49000000000001,0.21052631578947367,4,4,0.03846153846153846,0.08923076923076922,0.17710359984395568,0.20435897435897438
N=1N=C(SC1NC(C)C)C=2C=CC(=CC2)C3=NC=4C=C(C(=CC4N3)C)C,S. aureus,125.0,0.3438884150870724,2.536417545555938,+,363.4900000000001,108.66540000000002,5.185540000000004,2,5,4,66.49000000000001,0.25,4,4,0.03846153846153846,0.08923076923076922,0.17880518938694775,0.20141025641025642
N=1N=C(SC1NCCC)C=2C=CC(=CC2)C3=NC=4C=C(C(=CC4N3)C)C,S. aureus,125.0,0.3438884150870724,2.536417545555938,+,363.4900000000001,108.68740000000003,5.187140000000004,2,5,5,66.49000000000001,0.25,4,4,0.03846153846153846,0.08923076923076922,0.17710359984395568,0.20435897435897438
N=1N=C(SC1NC2=CC=C(OC)C=C2)C=3C=CC(=CC3)C4=NC=5C=C(C(=CC5N4)C)C,S. aureus,15.62,0.0365468864391754,1.5628503837594598,+,427.5330000000002,126.18340000000002,6.117440000000004,2,6,5,75.72,0.125,5,5,0.032258064516129024,0.07526881720430108,0.1493089905165894,0.2064516129032258
ClC1=CC=C2C(N=C(C=3C=CC(OCC=4C=CC=CC4)=CC3)N2C5CCCC5)=C1,S. aureus,3.12,0.0077433765589129,0.8889303794342069,+,402.9250000000002,118.45800000000003,7.050800000000006,0,3,5,27.05,0.24,5,4,0.034482758620689655,0.0812807881773399,0.1756721548748337,0.18372559751870093
CC1=CC(=CC=C1)CN2C(=NC3=CC=CC=C32)C,S. aureus,8.0,0.0338526900193806,1.5295931845176345,+,236.318,74.75100000000005,3.7014400000000025,0,2,2,17.82,0.1875,3,3,0.05555555555555555,0.13071895424836602,0.2643839700155406,0.18218954248366012
CC1=CC(=CC=C1)CN2C=NC3=C2C=C(C(=C3)C)C,S. aureus,32.0,0.1278236034272703,2.1066110564179885,+,250.345,79.48800000000004,4.009860000000003,0,2,2,17.82,0.23529411764705882,3,3,0.052631578947368404,0.12280701754385963,0.24821117605031237,0.1867905056759546
C1=C2C(=CC=C1)N=C([N]2)COC3=CC=C(C=C3)C(C#[N])N(C4=CC=C(C=C4)F)[H],S. aureus,3.9,0.0105009491242477,1.0212285543837134,+,371.395,105.64470000000003,4.860980000000002,1,4,6,71.50999999999999,0.09090909090909091,4,3,0.03571428571428571,0.082010582010582,0.15901243436744142,0.21316646316646318
ClC=1C=CC=CC1N2N=NC(=C2)CN3C=C(C4=NC=5C=CC=CC5N4)C=6C=CC=CC63,S. aureus,6.25,0.0147095164687746,1.167598396833958,+,424.8950000000001,122.49669999999999,5.467000000000003,1,5,4,64.32,0.041666666666666664,6,6,0.032258064516129024,0.07741935483870968,0.17283359058896616,0.17308120133481644
ClC1=CC=C(C=C1)N2N=NC(=C2)CN3C=C(C4=NC=5C=CC=CC5N4)C=6C=CC=CC63,S. aureus,3.12,0.0073547582343873,0.866568401169977,+,424.8950000000001,122.49669999999999,5.467000000000003,1,5,4,64.32,0.041666666666666664,6,6,0.032258064516129024,0.07741935483870968,0.1703305231180333,0.17664071190211345
N1=NN(C=C1CN2C=C(C3=NC=4C=CC=CC4N3)C=5C=CC=CC52)C6=CC=C(OC)C=C6,S. aureus,12.5,0.0297282127874123,1.4731688009003436,+,420.47600000000017,124.03870000000002,4.822200000000004,1,6,5,73.55,0.08,6,6,0.031249999999999997,0.07459677419354839,0.16391240943024232,0.17896505376344085
O=N(=O)C=1C=CC=CC1N2N=NC(=C2)CN3C=C(C4=NC=5C=CC=CC5N4)C=6C=CC=CC63,S. aureus,3.12,0.0071765335390989,0.8559147188421908,+,435.44700000000006,124.1411,4.721800000000003,1,7,5,107.46000000000001,0.041666666666666664,6,6,0.030303030303030304,0.07196969696969698,0.16468877846586435,0.17112658846529816
FC(F)(F)C=1C=CC=C(C1)N2N=NC(=C2)CN3C=C(C4=NC=5C=CC=CC5N4)C=6C=CC=CC63,S. aureus,12.5,0.0272659653133295,1.4356208778831414,+,458.4470000000002,122.4887,5.832400000000003,1,5,4,64.32,0.08,6,6,0.02941176470588235,0.06951871657754011,0.15781358942970963,0.17446524064171123
FC=1C=CC(=CC1)C=2N=C3C=CC(Cl)=CC3=C(C2)C4=NC5=NC=CC=C5N4,S. aureus,6.25,0.0166752933517606,1.2220734827643154,+,374.8060000000001,105.0297,5.632600000000003,1,3,2,54.46,0.0,5,5,0.03703703703703703,0.08831908831908832,0.208560167500447,0.16
FC=1C=CC(=CC1)C2=NC=3C=CC(Cl)=CC3C(=C2)C4=NC=5C=C(Cl)C(Cl)=CC5N4,S. aureus,6.25,0.0141176576885893,1.1497626473316531,+,442.70800000000014,117.25470000000001,7.544400000000002,1,2,2,41.57,0.0,5,5,0.034482758620689655,0.0812807881773399,0.19693445249554656,0.15909505564677975
FC=1C=CC(=CC1)C=2N=C3C=CC=CC3=C(C2)C4=NC5=NC=CC=C5N4,S. aureus,6.25,0.0183628559088732,1.2639402263755362,+,340.36100000000005,100.01970000000001,4.979200000000003,1,3,2,54.46,0.0,5,5,0.03846153846153846,0.0923076923076923,0.21244985669213184,0.16256410256410256
FC=1C=CC(=CC1)C2=NC=3C=CC=CC3C(=C2)C4=NC=5C=C(Cl)C(Cl)=CC5N4,S. aureus,6.25,0.0153087593046639,1.1849399948150363,+,408.2630000000001,112.24470000000001,6.891000000000003,1,2,2,41.57,0.0,5,5,0.03571428571428571,0.08465608465608465,0.2000600487275875,0.1617826617826618
C1=CC=C2C(=C1)N=C([N]2)C3=CC=C(C=C3)C4=CC=C(C=C4)N(N=C5C(=NN(C5=O)C6=CC=C(C=C6)Cl)C)[H],S. aureus,7.81,0.0154968619350639,1.1902437638308037,+,503.9730000000002,149.41569999999976,6.525400000000005,1,5,5,83.52000000000001,0.034482758620689655,6,4,0.027027027027027025,0.06306306306306306,0.1270827151660053,0.2051051051051051
C1=CC=C2C(=C1)N=C([N]2)C3=CC=C(C=C3)C4=CC=C(C=C4)N(\N=C\5C(=NN(C5=O)C6=CC=CC(=C6)Cl)C)[H],S. aureus,7.81,0.0154968619350639,1.1902437638308037,+,503.9730000000002,149.41569999999976,6.525400000000005,1,5,5,83.52000000000001,0.034482758620689655,6,4,0.027027027027027025,0.06306306306306306,0.12767424824128942,0.2038181038181038
ClC1=CC=C2NC(=NC2=C1)C=3C=CC(=CC3)NC=4N=C(N=C5C=CC=CC54)C=6C=CC=CC6,S. aureus,4.0,0.0089299866719948,0.9508508107045156,+,447.92900000000014,134.7963999999999,7.237100000000004,2,4,4,66.49000000000001,0.0,6,6,0.030303030303030304,0.07196969696969698,0.15720175731014002,0.1809017595307918
N=1C(=NC(NC=2C=CC(=CC2)C3=NC=4C=CC=CC4N3)=C5C=CC=CC15)C=6C=CC=CC6,S. aureus,4.0,0.009673893064786,0.9856012823877666,+,413.4840000000001,129.7864,6.583700000000005,2,4,4,66.49000000000001,0.0,6,6,0.031249999999999997,0.07459677419354839,0.1620023394039847,0.18044354838709675
N2=C1C=CC=CC1=C(N=C2C3=CC=C(C=C3)C4=CC=C(C=C4)[Cl])N(C5=CC=C(C=C5)C7=NC6=C(C=CC=C6)[N]7[H])[H],S. aureus,4.0,0.0076331944728038,0.8827063271516367,+,524.0270000000002,160.2323999999997,8.9041,2,4,5,66.49000000000001,0.0,7,7,0.02564102564102564,0.06072874493927125,0.13539247042262847,0.18178502389028703
N2=C1C=CC=CC1=C(N=C2C3=CC=C(C=C3)C4=CC=C(C=C4)Cl)N(C5=CC=C(C=C5)C7=NC6=C(C=CC(=C6)F)[N]7[H])[H],S. aureus,4.0,0.0073798423296686,0.8680470832205538,+,542.0170000000002,160.19039999999973,9.043199999999999,2,4,5,66.49000000000001,0.0,7,7,0.024999999999999994,0.05897435897435897,0.13216639121320642,0.18191632928475032
